phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
baseline,https://typescript.robertdevore.com/lessons/setup/,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,TypeScript 7 release,HTML anchor,200,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/setup/,https://nodejs.org/docs/latest-v24.x/api/typescript.html,Node TypeScript execution,HTML anchor,200,https://nodejs.org/docs/latest-v24.x/api/typescript.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/setup/,https://www.typescriptlang.org/tsconfig/,TSConfig reference,HTML anchor,200,https://www.typescriptlang.org/tsconfig/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/setup/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/setup/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/shipping/,https://devblogs.microsoft.com/typescript/,TypeScript releases,HTML anchor,200,https://devblogs.microsoft.com/typescript/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/shipping/,https://docs.npmjs.com/cli/v11/commands/npm-ci,npm ci,HTML anchor,200,https://docs.npmjs.com/cli/v11/commands/npm-ci/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/shipping/,https://nodejs.org/en/about/previous-releases,Node release support,HTML anchor,200,https://nodejs.org/en/about/previous-releases,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/shipping/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/shipping/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/workspaces/,https://www.typescriptlang.org/docs/handbook/project-references.html,Project references,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/project-references.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/workspaces/,https://docs.npmjs.com/cli/v11/using-npm/workspaces,npm workspaces,HTML anchor,200,https://docs.npmjs.com/cli/v11/using-npm/workspaces/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/workspaces/,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,TypeScript 7 parallel builds,HTML anchor,200,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/workspaces/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/workspaces/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/testing/,https://nodejs.org/docs/latest-v24.x/api/test.html,Node test runner,HTML anchor,200,https://nodejs.org/docs/latest-v24.x/api/test.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/testing/,https://www.typescriptlang.org/docs/handbook/release-notes/typescript-3-9.html,TypeScript expect-error,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/release-notes/typescript-3-9.html,not captured; final URL only,reachable,,
